Sail Date.,QTY.(KGS)
2021-01-01,1244317
2021-01-02,1499299
2021-01-03,1115398
2021-01-04,213313
2021-01-05,1020265
2021-01-06,18988
2021-01-07,557750
2021-01-08,1599498
2021-01-09,1941132
2021-01-12,135143
2021-01-13,470994
2021-01-14,107926
2021-01-15,564197
2021-01-16,824859
2021-01-17,359376
2021-01-18,1282300
2021-01-20,963493
2021-01-21,158840
2021-01-22,185522
2021-01-23,1548146
2021-01-24,413233
2021-01-25,319128
2021-01-27,492286
2021-01-28,396486
2021-01-29,1962881
2021-01-30,493016
2021-02-01,991597
2021-02-02,54260
2021-02-05,158589
2021-02-06,2331196
2021-02-07,977010
2021-02-08,1101291
2021-02-10,1018816
2021-02-11,1429343
2021-02-12,900457
2021-02-13,211762
2021-02-15,2408771
2021-02-17,522482
2021-02-18,1252606
2021-02-20,27739
2021-02-21,2229961
2021-02-23,1484415
2021-02-25,2253089
2021-02-26,49365
2021-02-27,63440
2021-02-28,1530044
2021-03-01,1710320
2021-03-02,2318550
2021-03-03,1716547
2021-03-05,516744
2021-03-07,717982
2021-03-08,951038
2021-03-09,864154
2021-03-10,293124
2021-03-11,587201
2021-03-12,494437
2021-03-13,40683
2021-03-14,751293
2021-03-15,1564704
2021-03-17,25192
2021-03-18,259051
2021-03-20,1690959
2021-03-22,2188064
2021-03-24,1971625
2021-03-25,1729813
2021-03-26,682275
2021-03-27,199288
2021-03-28,269973
2021-03-29,1275836
2021-03-30,944108
2021-04-01,1622925
2021-04-02,516783
2021-04-03,3010
2021-04-04,2721668
2021-04-05,549966
2021-04-07,1683542
2021-04-09,328894
2021-04-10,917857
2021-04-11,1391931
2021-04-12,205531
2021-04-13,814508
2021-04-15,687977
2021-04-16,257374
2021-04-17,19160
2021-04-18,577931
2021-04-20,1139429
2021-04-21,2110869
2021-04-22,550225
2021-04-23,681433
2021-04-24,282935
2021-04-26,1303232
2021-04-27,1219717
2021-04-28,292517
2021-04-30,1238210
2021-05-04,228621
2021-05-06,1250466
2021-05-07,332753
2021-05-08,15876
2021-05-09,2124476
2021-05-10,2700007
2021-05-11,346950
2021-05-14,1103407
2021-05-16,2389491
2021-05-19,980163
2021-05-20,502782
2021-05-21,797311
2021-05-23,160463
2021-05-24,1709501
2021-05-25,410375
2021-05-28,1636455
2021-05-29,2204343
2021-05-30,1305059
2021-06-01,558130
2021-06-02,678089
2021-06-03,649070
2021-06-04,880693
2021-06-05,1795806
2021-06-06,611210
2021-06-07,1213845
2021-06-09,445759
2021-06-10,224683
2021-06-11,196783
2021-06-12,1470461
2021-06-14,534095
2021-06-15,911277
2021-06-16,432767
2021-06-17,1062607
2021-06-18,1309072
2021-06-20,1330509
2021-06-21,1461574
2021-06-22,1103883
2021-06-23,1367994
2021-06-24,156025
2021-06-25,390298
2021-06-27,794999
2021-06-29,1308869
2021-06-30,1994199
2021-07-01,341190
2021-07-02,1519759
2021-07-03,753561
2021-07-04,120809
2021-07-07,644112
2021-07-08,2014225
2021-07-09,2875213
2021-07-11,312693
2021-07-13,795646
2021-07-14,1877828
2021-07-15,1107547
2021-07-17,737021
2021-07-18,106877
2021-07-19,606083
2021-07-20,2777052
2021-07-21,19200
2021-07-22,91510
2021-07-23,1358221
2021-07-24,91875
2021-07-25,1224813
2021-07-26,161947
2021-07-27,1007219
2021-07-28,302473
2021-07-29,2405621
2021-07-31,72050
2021-08-01,613200
2021-08-02,153552
2021-08-03,1053242
2021-08-04,31752
2021-08-05,87319
2021-08-06,1258893
2021-08-08,694112
2021-08-10,83000
2021-08-11,154181
2021-08-14,374371
2021-08-15,2250345
2021-08-16,254785
2021-08-17,542978
2021-08-18,1232847
2021-08-19,1767985
2021-08-20,263587
2021-08-21,1421332
2021-08-22,922886
2021-08-24,323155
2021-08-25,799402
2021-08-26,323623
2021-08-28,184925
2021-08-29,1687704
2021-08-31,1280352
2021-09-03,1222897
2021-09-04,801358
2021-09-05,102292
2021-09-06,2300934
2021-09-07,2031956
2021-09-09,925660
2021-09-10,926953
2021-09-11,2768970
2021-09-12,367064
2021-09-13,1262482
2021-09-14,1850005
2021-09-15,1389161
2021-09-16,414255
2021-09-19,825057
2021-09-20,1243506
2021-09-21,2961713
2021-09-22,621987
2021-09-24,347056
2021-09-25,611149
2021-09-26,1853309
2021-09-28,1336377
2021-09-29,2205453
2021-10-02,2051000
