Sail Date.,QTY.(KGS)
2022-01-01,1285112
2022-01-02,805926
2022-01-04,2054215
2022-01-08,262227
2022-01-09,782974
2022-01-10,2744039
2022-01-11,1662263
2022-01-12,1467857
2022-01-15,447559
2022-01-16,1483570
2022-01-17,262993
2022-01-18,157045
2022-01-19,1128200
2022-01-21,2101004
2022-01-22,1001912
2022-01-23,1129780
2022-01-24,143641
2022-01-25,1145817
2022-01-26,1159382
2022-01-27,185400
2022-01-29,153826
2022-01-30,1643480
2022-02-01,1425002
2022-02-02,1741415
2022-02-05,438234
2022-02-07,1843370
2022-02-08,116126
2022-02-09,2471658
2022-02-10,478275
2022-02-11,1362634
2022-02-12,726187
2022-02-13,155059
2022-02-15,1652443
2022-02-16,1949754
2022-02-17,1013301
2022-02-20,837028
2022-02-21,243382
2022-02-22,2049523
2022-02-23,858533
2022-02-24,1128715
2022-02-25,3460002
2022-02-26,150400
2022-02-27,1931645
2022-03-01,416566
2022-03-03,2518352
2022-03-06,1307534
2022-03-07,1675220
2022-03-08,2272944
2022-03-09,392653
2022-03-10,2669379
2022-03-11,1771864
2022-03-12,65685
2022-03-13,135781
2022-03-17,4020098
2022-03-19,3059973
2022-03-20,179050
2022-03-21,696148
2022-03-23,814368
2022-03-27,3101867
2022-03-28,1734929
2022-03-29,1124245
2022-03-31,1045272
2022-04-02,1372254
2022-04-03,1482300
2022-04-05,160327
2022-04-06,2018614
2022-04-08,1192210
2022-04-09,1949806
2022-04-10,570090
2022-04-12,615044
2022-04-14,1519452
2022-04-16,2634165
2022-04-17,283743
2022-04-18,163541
2022-04-19,3491295
2022-04-20,1401885
2022-04-21,1050181
2022-04-23,221970
2022-04-24,1267286
2022-04-26,539478
2022-04-27,477336
2022-04-28,843429
2022-04-29,1527271
2022-04-30,1037837
2022-05-01,66795
2022-05-02,2361155
2022-05-03,2183113
2022-05-04,1811580
2022-05-05,608008
2022-05-06,762558
2022-05-08,250165
2022-05-10,2708486
2022-05-12,501138
2022-05-14,100686
2022-05-15,2582503
2022-05-16,1710925
2022-05-18,335345
2022-05-20,1172228
2022-05-21,329540
2022-05-22,2225042
2022-05-23,641067
2022-05-24,328220
2022-05-25,273731
2022-05-26,179127
2022-05-27,1730231
2022-05-30,5734111
2022-05-31,816859
2022-06-04,732844
2022-06-05,1474452
2022-06-06,666718
2022-06-08,2919146
2022-06-10,2610859
2022-06-11,1060373
2022-06-12,33434
2022-06-14,2993596
2022-06-15,816956
2022-06-16,102566
2022-06-17,371839
2022-06-18,277098
2022-06-20,2908700
2022-06-21,475899
2022-06-22,583735
2022-06-23,2111541
2022-06-24,1946630
2022-06-26,2068514
2022-06-29,1118273
2022-06-30,545951
2022-07-01,1986833
2022-07-02,2386754
2022-07-03,287116
2022-07-05,1572461
2022-07-06,348147
2022-07-09,205556
2022-07-10,2504648
2022-07-11,7169
2022-07-12,3012812
2022-07-13,441931
2022-07-15,26000
2022-07-17,1023180
2022-07-18,1322027
2022-07-19,579959
2022-07-20,1556266
2022-07-21,1344181
2022-07-22,48260
2022-07-23,1479618
2022-07-25,1720431
2022-07-26,1044105
2022-07-27,1071306
2022-07-29,116000
2022-07-30,1509348
2022-07-31,46424
2022-08-01,1292425
2022-08-02,2701790
2022-08-03,518301
2022-08-05,73927
2022-08-06,1304588
2022-08-07,794796
2022-08-08,1982668
2022-08-09,1262948
2022-08-11,1589140
2022-08-12,130337
2022-08-14,1397685
2022-08-15,109140
2022-08-16,1000240
2022-08-17,2591653
2022-08-19,535954
2022-08-20,245116
2022-08-22,2347883
2022-08-23,934059
2022-08-24,1767938
2022-08-25,692267
2022-08-27,221047
2022-08-28,1639211
2022-08-30,4243153
2022-09-03,1982907
2022-09-04,1132502
2022-09-05,2267886
2022-09-06,70083
2022-09-07,1694375
2022-09-10,678486
2022-09-11,535008
2022-09-12,1145079
2022-09-13,556929
2022-09-17,1697516
2022-09-19,1759496
2022-09-20,1562431
2022-09-21,938942
2022-09-24,1502601
2022-09-25,496917
2022-09-27,2449697
2022-09-29,1372961
2022-10-01,2576140
2022-10-02,1177883
2022-10-04,1347521
2022-10-05,887222
2022-10-07,253239
2022-10-08,399892
2022-10-09,1301113
2022-10-10,1040320
2022-10-11,3164532
2022-10-16,1720179
2022-10-17,789497
2022-10-18,1352002
2022-10-19,1968600
2022-10-21,472053
2022-10-22,323999
2022-10-23,692504
2022-10-24,2678247
2022-10-25,1764542
2022-10-28,49881
2022-10-29,1048859
2022-10-30,2158821
2022-11-01,2776196
2022-11-02,1068819
2022-11-04,549580
2022-11-05,515414
2022-11-06,749205
2022-11-08,1877499
2022-11-09,631011
2022-11-10,735571
2022-11-11,127226
2022-11-12,263172
2022-11-13,1321624
2022-11-14,186143
2022-11-15,3334970
2022-11-16,1722214
2022-11-18,55000
2022-11-19,766455
2022-11-20,977132
2022-11-21,1451698
2022-11-22,63754
2022-11-23,2415260
2022-11-25,57765
2022-11-26,216931
2022-11-27,541469
2022-11-28,929854
2022-11-29,3127228
2022-11-30,1025531
2022-12-01,55305
2022-12-02,643685
2022-12-03,414578
2022-12-04,1140472
2022-12-05,1573210
2022-12-06,2006936
2022-12-07,1092071
2022-12-09,109718
2022-12-10,658817
2022-12-11,917003
2022-12-12,299712
2022-12-14,383748
2022-12-15,3488779
2022-12-16,54200
2022-12-17,1157229
2022-12-18,410130
2022-12-19,1363541
2022-12-21,2467849
2022-12-23,82256
2022-12-25,1086993
2022-12-26,1408096
2022-12-27,1669346
2022-12-28,1113987
2022-12-29,278274
2022-12-30,416466
2022-12-31,1218553
