Sail Date.,QTY.(KGS)
2019-01-01,686993
2019-01-02,1920106
2019-01-03,1598395
2019-01-04,1621244
2019-01-05,148152
2019-01-06,384235
2019-01-08,665465
2019-01-09,301686
2019-01-10,1906228
2019-01-11,1969674
2019-01-12,389311
2019-01-14,330847
2019-01-15,1319344
2019-01-16,661691
2019-01-17,86607
2019-01-18,628160
2019-01-19,1494600
2019-01-21,1474941
2019-01-22,1467823
2019-01-23,142513
2019-01-24,27319
2019-01-25,1222646
2019-01-26,1206472
2019-01-28,825453
2019-01-29,1847598
2019-01-30,150401
2019-02-01,1906464
2019-02-02,52270
2019-02-04,1249785
2019-02-07,1476566
2019-02-09,312548
2019-02-10,822724
2019-02-11,132419
2019-02-12,692093
2019-02-13,2191269
2019-02-14,303587
2019-02-16,2517677
2019-02-18,382618
2019-02-19,3008623
2019-02-20,950731
2019-02-22,1678316
2019-02-25,239982
2019-02-26,1528091
2019-02-27,2832122
2019-02-28,174908
2019-03-01,30000
2019-03-02,184674
2019-03-04,244133
2019-03-05,1455546
2019-03-06,436210
2019-03-07,2330899
2019-03-08,717189
2019-03-09,1255571
2019-03-11,469899
2019-03-12,3456441
2019-03-13,350224
2019-03-14,67000
2019-03-15,1200668
2019-03-17,76550
2019-03-18,1727729
2019-03-19,2451760
2019-03-20,1080785
2019-03-22,1498038
2019-03-23,1031149
2019-03-24,104250
2019-03-25,515081
2019-03-26,2629049
2019-03-27,39925
2019-03-28,2326837
2019-03-29,1520655
2019-03-30,674306
2019-04-01,1092037
2019-04-02,1838186
2019-04-03,1833010
2019-04-05,31072
2019-04-06,2197125
2019-04-07,497448
2019-04-09,185406
2019-04-10,1594842
2019-04-11,788430
2019-04-12,143531
2019-04-15,254730
2019-04-16,2638605
2019-04-17,100604
2019-04-19,1167496
2019-04-20,616066
2019-04-21,66000
2019-04-22,405199
2019-04-23,1434860
2019-04-24,690751
2019-04-25,445393
2019-04-26,1034416
2019-04-29,1970252
2019-04-30,2101064
2019-05-02,1015588
2019-05-03,1277713
2019-05-04,2828337
2019-05-05,391165
2019-05-06,1031023
2019-05-07,533203
2019-05-08,1389275
2019-05-09,2524884
2019-05-11,1805895
2019-05-13,1205260
2019-05-14,1689095
2019-05-15,72452
2019-05-16,15000
2019-05-17,424325
2019-05-18,1035713
2019-05-20,1269085
2019-05-21,1797842
2019-05-22,324857
2019-05-24,2000530
2019-05-25,47878
2019-05-27,1505501
2019-05-28,1827491
2019-05-29,860585
2019-05-31,1792161
2019-06-02,53877
2019-06-04,43000
2019-06-05,145803
2019-06-06,397894
2019-06-07,10374
2019-06-08,1593326
2019-06-09,826587
2019-06-10,33113
2019-06-11,105504
2019-06-12,916661
2019-06-14,482812
2019-06-15,1730771
2019-06-17,262391
2019-06-18,2339132
2019-06-19,86988
2019-06-20,1123371
2019-06-21,525424
2019-06-24,1915380
2019-06-25,2079863
2019-06-26,254017
2019-06-27,668400
2019-06-28,2358632
2019-06-30,185672
2019-07-01,266878
2019-07-04,162940
2019-07-05,1216573
2019-07-06,1877885
2019-07-07,517177
2019-07-08,2634044
2019-07-10,1753099
2019-07-15,1245311
2019-07-16,1461359
2019-07-17,557998
2019-07-18,1149233
2019-07-19,1996587
2019-07-20,110000
2019-07-21,948107
2019-07-22,390052
2019-07-23,14000
2019-07-24,474624
2019-07-25,2541134
2019-07-27,552862
2019-07-28,740463
2019-07-29,148413
2019-07-30,1516868
2019-07-31,1790659
2019-08-01,1939840
2019-08-02,248142
2019-08-03,1688033
2019-08-04,350293
2019-08-05,1592203
2019-08-07,1744126
2019-08-09,646170
2019-08-10,2136348
2019-08-11,1360447
2019-08-12,918005
2019-08-14,1562233
2019-08-16,2008845
2019-08-18,167724
2019-08-19,738924
2019-08-20,2152931
2019-08-21,109699
2019-08-22,870185
2019-08-23,2581136
2019-08-25,266229
2019-08-26,90277
2019-08-28,2088198
2019-08-29,1371241
2019-08-30,1721775
2019-08-31,813114
2019-09-03,158098
2019-09-04,2602408
2019-09-05,255446
2019-09-07,1857767
2019-09-09,1233784
2019-09-10,90000
2019-09-12,997333
2019-09-14,1334077
2019-09-15,701882
2019-09-16,924059
2019-09-17,513579
2019-09-18,129518
2019-09-19,908119
2019-09-20,384294
2019-09-21,979495
2019-09-22,709874
2019-09-23,853624
2019-09-24,1282206
2019-09-25,61920
2019-09-27,1877253
2019-09-28,111977
2019-09-29,690574
2019-09-30,1077076
2019-10-03,32531
2019-10-04,500886
2019-10-05,1727793
2019-10-06,534194
2019-10-07,336087
2019-10-08,577380
2019-10-12,1263175
2019-10-13,900885
2019-10-14,2801771
2019-10-18,1764841
2019-10-20,337365
2019-10-21,1232607
2019-10-22,1442428
2019-10-23,154999
2019-10-25,1220440
2019-10-26,24000
2019-10-27,984841
2019-10-28,1331615
2019-10-29,1242249
2019-10-30,69450
2019-11-01,1317508
2019-11-02,911443
2019-11-03,1549416
2019-11-06,1895321
2019-11-07,249075
2019-11-08,24000
2019-11-09,313454
2019-11-10,798181
2019-11-11,1769135
2019-11-12,65554
2019-11-13,1443565
2019-11-14,31000
2019-11-15,1911086
2019-11-16,249889
2019-11-17,709253
2019-11-18,1860922
2019-11-19,1084605
2019-11-20,196508
2019-11-22,926905
2019-11-24,1367013
2019-11-25,761752
2019-11-26,1072610
2019-11-27,402778
2019-11-28,119302
2019-11-29,1375245
2019-11-30,15000
2019-12-02,9000
2019-12-03,2017247
2019-12-04,1795842
2019-12-05,409224
2019-12-06,186283
2019-12-07,588744
2019-12-08,899322
2019-12-09,728628
2019-12-11,882100
2019-12-12,109222
2019-12-13,976204
2019-12-15,170426
2019-12-16,3601666
2019-12-18,285767
2019-12-20,666645
2019-12-21,511703
2019-12-23,1871252
2019-12-24,117747
2019-12-25,253650
2019-12-26,2004698
2019-12-27,643626
2019-12-29,392141
2019-12-30,1054901
2019-12-31,1088381
