Sail Date.,QTY.(KGS)
2020-01-01,1284272
2020-01-04,110652
2020-01-06,60000
2020-01-07,1308975
2020-01-09,1073901
2020-01-11,1564611
2020-01-12,711530
2020-01-13,1772869
2020-01-14,645836
2020-01-15,83479
2020-01-17,780435
2020-01-19,603142
2020-01-20,439939
2020-01-21,1952793
2020-01-22,192738
2020-01-23,1061872
2020-01-24,227081
2020-01-27,784544
2020-01-28,2632286
2020-01-29,945094
2020-01-30,87876
2020-01-31,906574
2020-02-02,159551
2020-02-03,507431
2020-02-06,2572838
2020-02-07,934975
2020-02-09,1268497
2020-02-10,1362825
2020-02-11,314981
2020-02-13,198297
2020-02-14,1049381
2020-02-16,1070399
2020-02-17,1500949
2020-02-19,1716966
2020-02-21,796524
2020-02-22,108480
2020-02-24,470643
2020-02-25,3137760
2020-02-27,80500
2020-02-28,1287027
2020-02-29,327600
2020-03-01,908411
2020-03-02,1692063
2020-03-03,1861632
2020-03-07,116658
2020-03-10,1643753
2020-03-13,1229715
2020-03-15,1193342
2020-03-16,830256
2020-03-17,2627578
2020-03-18,155807
2020-03-19,32520
2020-03-21,2705552
2020-03-23,794277
2020-03-25,1526106
2020-03-26,1260144
2020-03-27,723123
2020-03-30,12479
2020-03-31,109450
2020-04-02,13758
2020-04-03,1449469
2020-04-04,505890
2020-04-05,2967374
2020-04-07,1800417
2020-04-08,104170
2020-04-09,207914
2020-04-11,991468
2020-04-13,1278310
2020-04-14,384607
2020-04-16,1258045
2020-04-18,1351086
2020-04-20,1006134
2020-04-21,328831
2020-04-22,44367
2020-04-26,3791522
2020-04-27,807485
2020-04-29,2068891
2020-05-02,2110999
2020-05-03,1300098
2020-05-05,2064058
2020-05-06,2700232
2020-05-07,102836
2020-05-08,1504014
2020-05-09,236003
2020-05-10,139570
2020-05-11,991281
2020-05-12,1783359
2020-05-15,80000
2020-05-16,1536693
2020-05-18,1618502
2020-05-19,1700775
2020-05-21,766116
2020-05-22,1932343
2020-05-25,1354063
2020-05-26,1144446
2020-05-28,318615
2020-05-30,153876
2020-05-31,1343077
2020-06-01,908810
2020-06-02,102000
2020-06-03,924133
2020-06-04,233917
2020-06-05,1311267
2020-06-06,807514
2020-06-07,328430
2020-06-08,928276
2020-06-10,1239409
2020-06-12,174263
2020-06-13,1735664
2020-06-15,1899715
2020-06-17,37940
2020-06-18,2215330
2020-06-21,106262
2020-06-22,1144069
2020-06-23,2170126
2020-06-24,625379
2020-06-27,338816
2020-06-29,1601478
2020-06-30,1084148
2020-07-01,1481618
2020-07-02,1063588
2020-07-04,223800
2020-07-06,470811
2020-07-07,772192
2020-07-08,1191553
2020-07-09,2505064
2020-07-10,1199043
2020-07-11,241137
2020-07-13,975980
2020-07-14,1963444
2020-07-15,31752
2020-07-16,705290
2020-07-20,415950
2020-07-21,2623328
2020-07-22,3059067
2020-07-23,116627
2020-07-25,1378481
2020-07-27,195342
2020-07-28,1247923
2020-07-29,145581
2020-07-30,403387
2020-07-31,786211
2020-08-01,132474
2020-08-04,452949
2020-08-06,1715022
2020-08-07,1327088
2020-08-08,1805132
2020-08-09,736976
2020-08-10,1312861
2020-08-11,2079704
2020-08-12,149043
2020-08-13,1686456
2020-08-15,81425
2020-08-16,1563185
2020-08-18,309225
2020-08-21,2005251
2020-08-22,1423800
2020-08-23,445413
2020-08-24,693932
2020-08-26,789389
2020-08-27,46182
2020-08-28,1517943
2020-08-30,274471
2020-08-31,2050034
2020-09-03,708148
2020-09-05,972796
2020-09-06,1954325
2020-09-07,2006033
2020-09-09,286188
2020-09-11,77024
2020-09-12,1435168
2020-09-13,2126695
2020-09-14,324009
2020-09-15,2621862
2020-09-18,441025
2020-09-21,1321452
2020-09-22,2122983
2020-09-23,414340
2020-09-24,92743
2020-09-25,1417076
2020-09-27,145319
2020-09-28,345467
2020-09-29,1895615
2020-09-30,25002
2020-10-01,462707
2020-10-02,618867
2020-10-03,2932800
2020-10-04,397539
2020-10-05,266169
2020-10-06,219160
2020-10-08,496805
2020-10-10,1655854
2020-10-11,502113
2020-10-12,390885
2020-10-13,638239
2020-10-14,1334916
2020-10-15,30000
2020-10-16,1465541
2020-10-18,89608
2020-10-19,1856334
2020-10-21,1384924
2020-10-23,81766
2020-10-26,2728328
2020-10-27,1390039
2020-10-29,40033
2020-10-31,167759
2020-11-02,1779630
2020-11-03,110237
2020-11-05,856184
2020-11-06,289131
2020-11-07,301669
2020-11-08,1826925
2020-11-11,1303282
2020-11-12,345699
2020-11-13,1195712
2020-11-14,136145
2020-11-15,1246453
2020-11-16,1338890
2020-11-17,178053
2020-11-19,353904
2020-11-21,223948
2020-11-22,1492144
2020-11-23,740304
2020-11-25,410993
2020-11-26,1403657
2020-11-28,19200
2020-11-29,1182522
2020-11-30,1645897
2020-12-01,139500
2020-12-02,1553751
2020-12-03,382568
2020-12-05,1842527
2020-12-07,1147598
2020-12-08,257842
2020-12-09,39000
2020-12-10,406871
2020-12-11,859360
2020-12-12,1728747
2020-12-14,232187
2020-12-15,244856
2020-12-16,967871
2020-12-17,751870
2020-12-19,2185577
2020-12-20,179996
2020-12-21,391474
2020-12-22,248608
2020-12-23,1462512
2020-12-24,606878
2020-12-25,959254
2020-12-26,1433966
2020-12-28,3430383
2020-12-30,134188
