Month_Day,2023,2024,2025,2026,2027
04-12,1917168.19,409946.75,987747.6,425365.11,799311.14
04-13,1238013.8,994847.7,1194206.07,836894.93,1185103.05
04-14,1023578.37,967517.29,623383.72,932587.0,1386666.22
04-15,481134.66,481300.93,989826.45,726736.91,1193527.57
04-16,1267269.09,2019779.86,1156562.27,490187.29,2079433.28
04-17,891504.53,432258.81,988176.9,361626.18,636236.69
04-18,1045133.13,970332.65,991917.27,858211.75,1189528.14
04-19,1045133.13,970332.65,991917.27,858211.75,1189528.14
04-20,1591546.53,739848.82,988609.18,1061745.24,1338108.58
04-21,1045690.08,290466.82,506499.09,1769820.78,1081435.78
04-22,808117.97,614719.83,361980.43,667394.23,1190180.39
04-23,1427334.29,1261361.72,999705.88,755276.94,597540.13
04-24,1045133.13,970332.65,991917.27,858211.75,1189528.14
04-25,393515.79,627433.74,979423.41,976789.27,1190903.75
04-26,1028170.9,1003519.0,2614252.29,1108524.59,812073.7
04-27,666089.54,989731.94,883206.66,1048739.71,762550.25
04-28,641933.52,972995.03,982924.66,543719.85,996386.35
04-29,1045133.13,970332.65,991917.27,858211.75,1189528.14
04-30,1526815.25,1669618.54,984227.78,1072062.75,1094699.78
05-01,1010511.53,953318.39,983564.37,925050.35,562254.81
05-02,1034585.66,971751.48,1617873.24,955604.81,1852109.95
05-03,959063.21,1128840.84,1177682.23,936032.01,1766206.41
05-04,1045133.13,970332.65,991917.27,858211.75,1189528.14
05-05,388954.09,577864.08,1752246.38,983322.8,775481.88
05-06,1045133.13,970332.65,991917.27,858211.75,1189528.14
05-07,1030404.02,692221.43,433962.48,538519.94,1201339.54
05-08,622476.18,1255054.71,1354803.55,274116.81,533236.02
05-09,1172403.5,2051403.12,466686.5,1739085.08,1193814.7
05-10,707846.98,992908.24,418732.06,2093337.91,2221718.51
05-11,1481834.62,1561110.41,993171.26,496394.75,1186242.15
05-12,619449.47,994366.35,1467293.47,965447.89,754415.55
05-13,1026978.94,1120903.58,997828.98,911433.3,1194095.95
05-14,1408928.25,1417193.37,992222.65,1029033.25,525643.02
05-15,1285055.43,453037.48,474406.63,945847.51,1980275.81
05-16,1033908.91,321599.63,1365202.54,1899281.11,1555319.39
05-17,1045133.13,970332.65,991917.27,858211.75,1189528.14
05-18,764548.15,1014527.44,1405418.71,948736.76,612049.14
05-19,1453134.7,992754.86,1430721.18,938557.73,1192639.33
05-20,406241.97,1174036.65,984139.55,613103.74,1179255.94
05-21,1108132.04,1450313.59,861221.29,829969.68,706627.96
05-22,1349089.09,573702.37,1534816.57,938244.52,1794662.76
05-23,586387.22,977659.1,986859.47,467959.19,871530.4
05-24,1047067.07,1569794.91,983859.77,1321760.89,705000.84
05-25,1035902.96,458450.52,1189294.41,611007.64,658226.11
05-26,2020516.56,978306.07,1097164.4,966264.25,502921.02
05-27,2081556.43,1320612.81,976091.68,956285.31,1541557.66
05-28,1011209.16,1589206.83,530694.98,1395006.83,1188816.7
05-29,1063664.13,907543.12,991427.5,1620211.64,1198649.0
05-30,1216596.68,964471.48,473952.22,1122060.96,4011060.45
05-31,615947.91,1561295.27,1239629.95,941644.53,917477.34
06-01,1045133.13,970332.65,991917.27,858211.75,1189528.14
06-02,2065379.53,425479.27,477582.15,761389.47,1199255.09
06-03,1869556.49,988611.74,946627.08,724897.26,1193213.96
06-04,1385065.82,412037.71,544284.38,862475.97,914239.63
06-05,1046068.98,464232.2,1179647.55,1441623.98,1370343.11
06-06,711324.83,608765.31,871919.87,699819.52,849973.64
06-07,1214013.01,412596.84,604145.48,1096888.93,1201287.46
06-08,2540481.84,1347523.94,951987.4,957152.88,2208106.03
06-09,1035445.6,881329.86,981975.01,604088.73,1198697.73
06-10,899512.35,421747.57,1139083.03,445392.92,2042030.05
06-11,1396600.65,419234.38,989940.02,463465.39,1111235.87
06-12,320372.05,946067.38,429479.27,1250762.12,384560.22
06-13,868646.85,974591.39,1574858.78,996533.11,1199274.91
06-14,1045133.13,970332.65,991917.27,858211.75,1189528.14
06-15,1172161.88,1474071.19,1599385.82,872181.75,947611.83
06-16,516889.2,984911.58,992204.12,589676.34,537260.57
06-17,1037152.22,551810.31,419288.41,948976.17,695882.51
06-18,547274.84,1995117.06,1919117.39,1225173.52,492659.29
06-19,1863380.91,379426.18,981018.56,904388.48,1189317.36
06-20,610513.56,1044577.08,980786.65,1134359.14,2139144.01
06-21,1034478.13,650511.38,370384.66,1286077.94,697796.0
06-22,1412297.85,958849.74,1090854.31,1024787.06,794700.91
06-23,443490.62,998494.92,1761937.11,1157612.08,1778929.85
06-24,803107.07,1641094.63,737977.53,393564.03,1697919.48
06-25,1045133.13,970332.65,991917.27,858211.75,1189528.14
06-26,1380479.44,505519.85,985580.05,948340.74,1775394.63
06-27,563882.97,785013.49,548944.79,818271.35,1188561.59
06-28,828784.39,1852949.61,991167.09,935350.75,1189005.47
06-29,1051413.31,987138.05,1367741.11,1131088.3,1148606.27
06-30,754467.16,541957.61,1031096.95,1477644.73,843266.12
07-01,1041756.8,573579.69,1275692.39,529612.04,1657119.27
07-02,1045133.13,970332.65,991917.27,858211.75,1189528.14
07-03,872938.63,996719.1,986346.98,800649.81,694331.85
07-04,768545.19,451403.55,500943.6,361888.42,1200401.11
07-05,1496670.09,1119823.63,994123.25,943828.64,1398626.55
07-06,703271.45,1478835.63,708353.51,925746.89,731537.71
07-07,1026232.62,739339.29,870421.44,720942.76,1191968.16
07-08,1756962.58,1917865.73,1109601.86,1518334.98,1189021.74
07-09,1329615.72,1000360.98,1994396.61,2177139.8,533776.82
07-10,919434.96,1485664.06,1123117.21,973322.84,2039901.07
07-11,1045133.13,970332.65,991917.27,858211.75,1189528.14
07-12,1045133.13,970332.65,991917.27,858211.75,1189528.14
07-13,1028085.87,984726.75,987391.17,830008.93,752904.83
07-14,1045133.13,970332.65,991917.27,858211.75,1189528.14
07-15,1045133.13,970332.65,991917.27,858211.75,1189528.14
07-16,540673.44,1291429.07,797304.03,947037.27,1195254.89
07-17,1763480.41,698456.42,978259.23,800154.31,1084602.66
07-18,1035061.89,1075871.61,985364.47,398210.87,1271317.18
07-19,1025025.19,1731828.2,989314.85,678971.36,751923.1
07-20,1688236.05,473873.74,640360.53,1980734.01,1407900.18
07-21,483668.72,957426.87,2244997.89,206085.5,1312814.15
07-22,1045133.13,970332.65,991917.27,858211.75,1189528.14
07-23,878800.58,372768.74,449646.04,1153573.5,1373948.64
07-24,1051320.84,618571.89,989514.59,371487.1,1197307.32
07-25,1267780.54,1933596.51,1233740.86,1065634.68,1500830.41
07-26,1016175.37,966830.06,992239.25,414101.22,1095172.3
07-27,419904.56,744199.2,511854.06,934659.19,1121270.03
07-28,1049695.4,845995.19,1130741.97,557397.93,1198581.2
07-29,1443292.96,374767.38,371234.27,1989335.31,398086.07
07-30,1045133.13,970332.65,991917.27,858211.75,1189528.14
07-31,1555585.27,1487481.9,865870.08,352090.26,454680.35
08-01,1289636.29,1551462.52,503873.33,691924.05,1249062.56
08-02,641034.38,427050.08,986211.77,304236.44,2337043.91
08-03,1046159.38,1423219.65,988653.97,978111.77,754940.06
08-04,1061083.65,572815.38,634380.63,301066.45,1181488.89
08-05,1372106.01,1405992.53,988153.2,335586.22,425034.92
08-06,317561.95,992398.6,1514641.75,1125029.94,1276187.04
08-07,1111481.61,1423259.22,1190251.4,971578.2,943283.13
08-08,1045133.13,970332.65,991917.27,858211.75,1189528.14
08-09,497285.55,756806.58,820199.31,964439.25,1236947.07
08-10,519190.96,1655956.85,1191648.94,390223.78,1193114.67
08-11,1037529.01,1210969.2,1667768.19,439660.12,1437852.53
08-12,1045133.13,970332.65,991917.27,858211.75,1189528.14
08-13,519308.06,984635.44,1433548.71,956001.57,1202531.66
08-14,2102954.76,1325470.45,989554.33,551368.82,1319151.17
08-15,492098.47,966019.52,403107.87,1745902.65,500994.39
08-16,1029265.15,1631808.98,1353386.79,474399.63,1071435.49
08-17,1308952.51,986685.8,981665.37,686577.7,1985730.68
08-18,1056531.97,411369.5,501179.42,1126544.43,1192629.35
08-19,687233.18,796458.34,975796.28,1540825.84,721907.76
08-20,518562.12,1696440.21,988732.79,457991.94,583399.64
08-21,1045133.13,970332.65,991917.27,858211.75,1189528.14
08-22,1045133.13,970332.65,991917.27,858211.75,1189528.14
08-23,408651.21,1962143.37,645407.49,945113.76,1033925.3
08-24,1028410.72,980243.73,797919.52,510020.67,1565091.63
08-25,1045133.13,970332.65,991917.27,858211.75,1189528.14
08-26,455528.1,414889.37,869114.94,539498.14,1200375.31
08-27,1003650.66,1005716.94,381260.11,920146.49,550665.67
08-28,896375.56,1692157.39,1318768.62,430247.17,1481368.65
08-29,434383.59,1213741.21,985569.38,1408437.52,1195906.99
08-30,1045133.13,970332.65,991917.27,858211.75,1189528.14
08-31,1386866.3,847497.9,1690857.92,1133918.16,1186538.78
09-01,958558.68,978940.65,976459.27,957251.14,1187743.73
09-02,1261154.79,966881.62,1000049.3,930908.31,1195467.51
09-03,1099896.32,550543.75,833066.89,1045018.86,1605752.24
09-04,523868.4,2076847.14,988770.47,796636.77,1148602.51
09-05,1045133.13,970332.65,991917.27,858211.75,1189528.14
09-06,1220979.8,976765.67,1581362.22,1722277.66,511780.8
09-07,924289.14,1532028.31,1617278.64,1561564.08,1499956.38
09-08,422378.6,998386.18,989919.57,967944.36,1201349.0
09-09,580606.77,1167464.56,496513.18,931928.22,1202189.97
09-10,1045133.13,970332.65,991917.27,858211.75,1189528.14
09-11,1430477.69,995287.74,365805.28,2163183.73,735881.17
09-12,768104.95,971714.07,1299526.16,553630.1,1158021.16
09-13,344934.17,986646.25,1751906.94,1141025.24,763515.56
09-14,1002226.18,1197657.58,554090.95,1514239.96,1196786.38
09-15,746187.96,800139.92,2043048.89,1181776.27,1198484.53
09-16,724637.91,945646.33,984629.51,602980.68,1199136.47
09-17,1331067.98,702192.54,989300.31,917280.44,1489699.03
09-18,1499064.11,390721.92,604992.68,971941.16,1200880.89
09-19,1045133.13,970332.65,991917.27,858211.75,1189528.14
09-20,1017201.23,551357.75,990426.42,1115373.55,1447389.58
09-21,670693.19,991230.03,1214228.72,2273804.71,1024784.47
09-22,1045133.13,970332.65,991917.27,858211.75,1189528.14
09-23,1048738.49,919218.96,674828.65,938682.48,1184981.19
09-24,928899.69,1213444.24,381007.33,499209.84,1403639.2
09-25,2485497.79,396514.27,1261519.02,702338.52,736235.81
09-26,1014963.45,978267.53,985952.54,1453698.4,1203848.62
09-27,1050405.42,1541674.53,457354.46,940824.59,1981892.2
09-28,950521.65,397579.7,573914.05,1170226.46,1196060.76
09-29,1910226.57,787716.27,1572087.59,1733056.23,1313126.86
09-30,384053.69,1043087.17,362932.09,972913.62,1197534.9
10-01,1258790.16,997073.08,652110.52,942938.08,2075973.78
10-02,1045133.13,970332.65,991917.27,858211.75,1189528.14
10-03,685489.93,416809.21,2145549.44,575874.67,1192968.5
10-04,2270009.99,615004.38,550868.13,934239.38,1298956.66
10-05,1027848.39,1448293.53,562088.69,932496.35,999503.55
10-06,1019269.24,689589.72,505371.62,379384.93,1196343.38
10-07,1486065.9,571280.39,994558.05,1036130.24,626726.53
10-08,506177.93,755884.7,722367.99,1765926.92,743742.75
10-09,862183.27,984445.19,987882.34,911530.66,1261658.43
10-10,1045133.13,970332.65,991917.27,858211.75,1189528.14
10-11,1035406.82,984171.38,649302.4,1570600.07,2589552.97
10-12,1365975.69,1151755.4,613258.21,442164.28,1199774.36
10-13,1045602.63,889281.96,761687.64,478702.99,1192105.14
10-14,978714.3,2175006.11,1224413.58,1141866.09,1197298.28
10-15,1037373.31,1004548.57,350213.49,953923.87,1195439.09
10-16,2295491.78,980146.13,1297905.49,392833.55,1537631.59
10-17,1035538.76,974054.35,983676.3,1433420.0,922912.66
10-18,630916.98,1480778.92,421948.81,886948.74,1287987.86
10-19,1045133.13,970332.65,991917.27,858211.75,1189528.14
10-20,1029838.79,588069.82,983825.82,949287.21,1185944.02
10-21,884084.37,1101666.3,1199786.52,1211798.06,801788.07
10-22,1143117.95,1280375.62,997873.06,365481.96,639914.63
10-23,1593559.33,420254.58,391954.27,737105.79,866851.06
10-24,1037988.99,975682.69,981514.12,1064414.08,2098710.87
10-25,1045133.13,970332.65,991917.27,858211.75,1189528.14
10-26,819997.68,444140.41,1920098.36,1285254.85,1190676.05
10-27,1324038.61,989365.46,1244299.88,1204859.64,1189247.64
10-28,1045133.13,970332.65,991917.27,858211.75,1189528.14
10-29,1876238.82,1148388.95,386549.18,929448.08,1092657.93
10-30,1410059.93,406673.22,983076.8,615002.82,1804762.55
10-31,1033667.39,965274.93,505445.22,1913000.58,1200891.72
11-01,1045133.13,970332.65,991917.27,858211.75,1189528.14
11-02,1032120.85,937777.86,1452342.47,661257.07,1117879.06
11-03,1045133.13,970332.65,991917.27,858211.75,1189528.14
11-04,1022581.86,970185.68,994678.6,971257.21,762795.66
11-05,827301.89,986789.34,916014.83,2061173.28,784392.18
11-06,1045133.13,970332.65,991917.27,858211.75,1189528.14
11-07,668458.28,519672.64,542800.95,1049700.76,1199259.55
11-08,436999.24,387243.91,1499480.0,457199.47,1613081.75
11-09,1574373.54,542023.48,978672.19,628329.29,821363.66
11-10,872021.62,863141.15,987256.45,804496.62,898948.58
11-11,785344.66,1469752.34,1187579.44,943459.98,499395.53
11-12,399907.91,426696.95,577094.05,924228.33,591882.47
11-13,1028129.33,1221743.46,1116184.72,627153.53,1268614.82
11-14,1040294.31,429633.39,487595.28,586038.11,586025.67
11-15,576551.16,1447770.34,1109459.14,1251280.44,2249033.86
11-16,1323938.8,531070.24,1221074.2,1519779.27,1538794.8
11-17,906233.07,837285.59,544181.69,677088.05,1199407.26
11-18,1039703.23,1458546.25,991959.01,974589.87,555374.79
11-19,1583550.7,1057730.14,581759.0,334385.13,915138.69
11-20,1013119.01,601242.6,992987.98,931974.14,1075951.6
11-21,633939.41,991849.79,526448.13,1802963.33,1353523.1
11-22,1047362.75,970633.86,1313318.59,1223827.84,447726.34
11-23,1004356.37,974859.99,844367.61,1230027.98,1890928.11
11-24,809588.17,1187902.29,991747.64,1313873.32,1200597.64
11-25,1040100.1,855018.65,615333.63,941098.84,442808.71
11-26,1235174.9,1009948.31,1228723.7,928262.96,638457.77
11-27,1598815.45,591338.94,987986.75,929003.56,768172.77
11-28,1045133.13,970332.65,991917.27,858211.75,1189528.14
11-29,513345.61,1237284.0,1119483.08,1477283.09,2432167.11
11-30,1705237.19,385573.5,1395037.75,1603967.44,1086204.08
12-01,1471121.57,994833.13,551757.61,935438.81,598733.35
12-02,909250.56,395272.59,1331727.31,397041.98,855879.69
12-03,825613.94,1616206.68,606518.7,1940710.07,707897.87
12-04,1045133.13,970332.65,991917.27,858211.75,1189528.14
12-05,1045133.13,970332.65,991917.27,858211.75,1189528.14
12-06,1360572.76,497823.04,979039.78,456515.48,1674918.85
12-07,1044474.16,755632.58,1076837.92,941546.81,1125268.94
12-08,1718104.75,889437.29,526310.54,598834.51,1193291.01
12-09,463536.53,819447.89,421167.88,971792.95,565934.65
12-10,1045133.13,970332.65,991917.27,858211.75,1189528.14
12-11,1534685.36,915508.81,928660.66,470343.3,1033619.1
12-12,1045133.13,970332.65,991917.27,858211.75,1189528.14
12-13,1045133.13,970332.65,991917.27,858211.75,1189528.14
12-14,1426990.76,1005705.12,529169.84,2444537.28,692795.33
12-15,1037987.9,474035.16,547527.64,886151.93,2567088.48
12-16,1045133.13,970332.65,991917.27,858211.75,1189528.14
12-17,1295651.21,987419.5,873089.78,930357.78,1172290.92
12-18,1463821.21,559033.14,996773.89,936927.31,719713.34
12-19,1045133.13,970332.65,991917.27,858211.75,1189528.14
12-20,1037984.04,758347.86,441414.77,381578.78,1195894.39
12-21,1045133.13,970332.65,991917.27,858211.75,1189528.14
12-22,735353.34,975419.21,490676.77,1345743.86,1196689.11
12-23,1051803.07,1563208.41,1295957.8,959105.98,455225.01
12-24,2322350.81,446735.2,757117.92,1096806.41,1187184.28
12-25,522787.02,566194.27,970833.79,949754.33,1134100.94
12-26,1045133.13,970332.65,991917.27,858211.75,1189528.14
12-27,490982.59,777119.08,977491.55,1993882.81,1492665.86
12-28,1045133.13,970332.65,991917.27,858211.75,1189528.14
12-29,1025676.8,630082.33,995990.1,930084.9,670809.43
12-30,1045133.13,970332.65,991917.27,858211.75,1189528.14
12-31,971974.1,1049137.85,992391.39,900593.87,1203220.1
