Month_Day,2023,2024,2025,2026,2027
02-18,523076.0000000004,382617.9999999999,985410.0,1252606.0000000002,1198180.0
02-19,1489901.9999999995,3008623.0,1716966.0000000007,1001102.0,1198180.0
02-20,1030555.9999999999,950731.0,985410.0,27738.999999999534,837028.0000000001
02-21,1030555.9999999999,995967.0,796523.9999999999,2229961.000000001,243382.00000000035
02-22,101205.00000000058,1678316.0,108479.9999999993,1001102.0,2049522.9999999995
02-23,1099767.9999999998,995967.0,985410.0,1484415.0000000002,858533.0
02-24,2467015.9999999986,995967.0,470642.99999999965,1001102.0,1128715.0
02-25,168321.00000000058,239981.99999999988,3137760.000000002,2253089.000000001,3460001.999999999
02-26,462624.00000000035,1528091.0,985410.0,49364.99999999965,150400.00000000035
02-27,1030555.9999999999,2832122.0,80499.99999999942,63439.999999999534,1931644.9999999995
02-28,2634969.9999999986,174907.99999999988,1287027.0000000002,1530044.0000000002,1198180.0
03-01,1568863.9999999995,29999.999999999884,908411.0,1710320.0000000005,416566.00000000023
03-02,325350.00000000047,184673.99999999988,1692063.0000000007,2318550.000000001,1198180.0
03-03,1030555.9999999999,995967.0,1861632.0000000005,1716547.0000000005,2518351.999999999
03-04,851189.0,244132.99999999988,985410.0,1001102.0,1198180.0
03-05,1030555.9999999999,1455546.0,985410.0,516743.99999999977,1198180.0
03-06,1030555.9999999999,436209.9999999999,985410.0,1001102.0,1307533.9999999998
03-07,2081764.9999999988,2330899.0,116657.99999999942,717981.9999999999,1675219.9999999995
03-08,1030555.9999999999,717189.0,985410.0,951038.0,2272943.999999999
03-09,1305557.9999999995,1255571.0,985410.0,864154.0,392653.00000000035
03-10,163942.00000000058,995967.0,1643753.0000000005,293123.99999999953,2669378.999999999
03-11,115145.00000000058,469898.99999999977,985410.0,587200.9999999998,1771863.9999999995
03-12,510561.00000000035,3456441.0,985410.0,494436.99999999977,65685.00000000023
03-13,2196312.999999999,350223.9999999999,1229715.0000000002,40682.99999999965,135781.00000000023
03-14,1030555.9999999999,67000.0,985410.0,751292.9999999999,1198180.0
03-15,1030555.9999999999,1200668.0,1193342.0000000002,1564704.0000000002,1198180.0
03-16,1602160.9999999995,995967.0,830256.0,1001102.0,1198180.0
03-17,1030555.9999999999,76549.99999999988,2627578.000000001,25191.999999999534,4020097.999999999
03-18,1030555.9999999999,1727729.0,155806.99999999942,259050.99999999965,1198180.0
03-19,1687424.9999999995,2451760.0,32519.999999999418,1001102.0,3059972.999999999
